18
23
4,6,2,"wFly and be free"
8,2,1,"Z",24,7
12,2,1,"ka"
26,18,4,"aa"
17,2,2,"c7"
24,2,1,"c7"
29,2,2,"c18"
38,5,1,"c16"
47,2,4,"c6"
8,10,2,"Z",40,10
16,10,1,"c9"
8,18,2,"Z",43,4
16,18,1,"c16"
24,18,2,"c16"
28,16,1,"Z",29,18
34,7,1,"c10"
34,9,3,"c16"
36,8,4,"c6"
48,9,4,"c6"
48,13,4,"c9"
48,22,1,"c9"
38,19,1,"z",42,21
42,20,1,"z",40,21
20
36
8,6,3,"ka"
14,2,4,"aa"
8,13,4,"ac"
8,12,4,"w to portal chamber"
4,20,3,"c18"
14,22,4,"ab"
40,4,2,"z",49,2
66,6,4,"c18"
62,10,2,"c2"
18,22,1,"c12"
27,22,4,"c10"
48,20,4,"Z",53,22
66,18,1,"c2"
62,17,3,"c18"
56,19,1,"r848888868"
51,17,1,"r888888888688888"
56,13,1,"r668"
56,14,4,"r888868888868"
59,11,1,"kc"
56,10,4,"kb"
10,13,1,"wIt's all down hill from here"
13,13,4,"wDown to hell that is!"
19,6,4,"z",19,18
35,16,1,"c10"
37,16,4,"Z",22,16
16,10,1,"c12"
24,12,4,"z",25,12
25,15,3,"c18"
38,8,2,"c15"
44,8,4,"c15"
49,9,3,"c7"
49,6,2,"c9"
32,8,4,"Z",43,11
20,8,2,"c12"
24,8,4,"c18"
45,13,4,"wPortal Chamber"

