16
29
2,2,1,"wAre you really moving?"
2,12,3,"wDon't open the chest by the spikes"
7,18,2,"c15"
7,20,4,"ka"
12,20,1,"c10"
6,4,2,"c7"
9,10,4,"c12"
6,5,3,"c12"
14,4,4,"aa"
18,20,1,"c15"
19,20,1,"c12"
20,20,1,"c12"
21,20,1,"c7"
34,20,4,"Z",35,20
41,20,2,"c15"
47,22,1,"z",28,19
53,20,2,"c12"
57,19,1,"Z",34,3
18,12,3,"c9"
48,3,3,"c12"
24,4,4,"p",24,8,4
26,11,0,"p",12,3,3
26,4,2,"p",50,10,2
48,8,0,"z",35,4
26,4,0,"p",49,12,1
53,20,4,"c6"
23,8,0,"z",34,4
40,10,0,"p",34,2,3
36,4,0,"p",48,12,4
17
37
5,4,4,"c12"
6,7,3,"c15"
5,10,4,"Z",13,10
10,7,3,"c12"
19,2,2,"ka"
2,20,4,"aa"
9,20,1,"c12"
9,22,2,"kb"
32,13,3,"c7"
24,22,1,"ab"
29,8,2,"kc"
26,10,4,"c12"
32,10,2,"c17"
18,20,2,"c12"
20,19,1,"Z",22,11
49,22,1,"ac"
49,17,1,"Z",45,9
52,16,4,"c12"
53,13,3,"c6"
47,8,3,"c12"
35,8,2,"c7"
34,3,3,"c10"
36,2,4,"c2"
45,4,4,"Z",53,9
51,2,4,"p",26,18,4
64,6,3,"c16"
66,6,3,"c18"
68,4,3,"Z",68,21
68,7,4,"wTo surface."
18,22,3,"wMeditation Chambers"      
30,24,3,"c6"
34,24,3,"c6"
26,24,4,"c20"
58,24,4,"c20"
44,24,4,"c6"
62,4,3,"wPrepare to bow to your leader."
68,22,4,"wExit gate controled by the leader."
