7
18
7,3,3,"c14"
18,5,2,"c20"
24,5,2,"c6"
34,5,2,"c9"
31,6,1,"c4"
42,9,4,"c15"
35,17,2,"c2"
40,3,0,"z",14,7
14,7,2,"Z",39,6
38,21,2,"Z",35,17
12,5,4,"ka"
30,15,3,"kb"
39,15,1,"aa"
39,10,3,"aa"
36,12,2,"aa"
37,12,2,"ab"
3,3,1,"wThe Dungeons and Labyrinths."
39,5,3,"wThis wall may disappear"
9
18
11,6,1,"c12"
13,10,1,"c11"
35,13,4,"c7"
13,16,1,"c3"
30,16,4,"c10"
14,18,4,"c8"
10,3,2,"wGo through the portal"
19,6,4,"ka"
23,5,3,"kb"
25,10,4,"aa"
25,13,4,"aa"
25,18,4,"ac"
25,18,3,"ab"
24,20,2,"kc"
14,20,0,"z",20,4
27,10,2,"aa"
27,13,2,"aa"
31,8,0,"p",10,3,2
