15
25
15,21,3,"p",4,3,3
48,17,4,"p",56,19,4
57,19,4,"p",35,3,4
70,10,1,"p",42,18,2
68,14,2,"Z",55,19
24,6,1,"Z",5,14
44,7,4,"Z",40,15
14,3,1,"c15"
7,9,4,"c15"
15,15,3,"c9"
13,16,4,"c2"
13,17,4,"c6"
17,16,2,"c12"
17,17,2,"c6"
35,8,1,"c12"
72,16,3,"c3"
36,16,3,"c9"
19,3,4,"ab"
40,6,1,"kb"
13,9,3,"ka"
4,12,3,"aa"
4,15,4,"wStorage area #2"
24,6,4,"wStorage area #2 bars switch"
65,3,1,"wSecurity area #1"
56,19,2,"wExit blocked from Security area #1"
20
12
46,4,4,"c6"
24,12,2,"c15"
59,10,2,"c10"
59,8,2,"c16"
56,20,4,"c9"
4,22,1,"ka"
6,5,4,"wThe second portal"
38,3,1,"kb"
28,22,4,"ab"
20,8,1,"aa"
30,20,0,"p",6,22,4
68,5,0,"p",56,14,1
